trx_count,kd_knn_bound_comp_t,scan_knn_bound_comp_t
936600,259.6414089202881,1296.288013458252
1873200,290.9119129180908,1537.1148586273193
2809800,314.46075439453125,1678.9891719818115
3746400,327.93641090393066,1881.6478252410889
4683000,345.10040283203125,2240.990400314331
5619600,363.5232448577881,2532.057046890259
