bound,kd_knn_bound_comp_t,scan_knn_bound_comp_t
1,4357.00798034668,17036.72957420349
2,4290.588855743408,17054.02445793152
3,4381.733417510986,17032.511472702026
4,4354.535341262817,16927.398681640625
5,4396.708965301514,17028.149127960205
6,4276.93510055542,17091.312646865845
7,4326.4641761779785,17108.66069793701
8,4325.681209564209,17210.41464805603
9,4324.979543685913,17223.853826522827
10,4397.862911224365,17330.390214920044
11,4357.953786849976,17410.526990890503
