bs,kd_knn_bound_comp_t,scan_knn_bound_comp_t
30,6806.53989315033,18515.4926776886
40,5680.733680725098,18445.157527923584
50,4108.990430831909,17952.34227180481
60,4033.2897901535034,17869.449377059937
70,3410.956382751465,17586.156487464905
80,3110.223412513733,17536.495327949524
90,2767.664313316345,17509.867787361145
100,2508.185386657715,16722.759127616882
110,1937.912940979004,16017.657041549683
