trx_count,kd_range_comp_t,scan_range(tm)_comp_t,scan_range(sp)_comp_t
936600,96.14753723144531,541.9623851776123,883.5563659667969
1873200,116.03307723999023,758.4633827209473,1768.2712078094482
2809800,135.62250137329102,971.8067646026611,2651.0138511657715
3746400,149.9617099761963,1188.9193058013916,3552.151679992676
4683000,169.74687576293945,1399.5187282562256,4428.063154220581
5619600,186.74993515014648,1613.6505603790283,5311.600923538208
