trx_count,kd_knn_comp_t,scan_knn_comp_t
936600,275.8347988128662,1271.8219757080078
1873200,302.1113872528076,1493.6788082122803
2809800,320.0340270996094,1655.9209823608398
3746400,334.7620964050293,1854.3524742126465
4683000,354.81810569763184,2199.3229389190674
5619600,373.29792976379395,2523.376941680908
