bs,kd_knn_comp_t,scan_knn_comp_t
30,7046.556353569031,18220.429301261902
40,5963.958382606506,18209.455490112305
50,4237.524747848511,18121.679067611694
60,4120.768189430237,17633.24236869812
70,3622.81596660614,17543.861746788025
80,3252.9133558273315,17430.68265914917
90,2894.4989442825317,17220.69025039673
100,2573.484182357788,16529.776334762573
110,1991.8525218963623,15405.142307281494
