trx_count,kd_query_ball_comp_t,scan_query_ball(tm)_comp_t,scan_query_ball(sp)_comp_t
936600,63.55476379394531,631.9320201873779,1236.788272857666
1873200,89.41078186035156,821.6300010681152,2469.130277633667
2809800,109.63678359985352,1008.1620216369629,3694.0648555755615
3746400,125.51426887512207,1204.2956352233887,4950.688362121582
4683000,141.22867584228516,1370.0273036956787,6145.10440826416
5619600,158.2808494567871,1567.2688484191895,7387.994766235352
